st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S20,Rajasthan,156,Salumber,Durga Prasad Meena,Independent,733,2,735,0.34
S20,Rajasthan,156,Salumber,Sewaram,Independent,1513,4,1517,0.71
S20,Rajasthan,156,Salumber,Harjilal,Independent,1292,1,1293,0.61
S20,Rajasthan,156,Salumber,NOTA,None of the Above,3686,16,3702,1.74
S20,Rajasthan,157,Dhariawad,Kanhaiyalal,Bahujan Samaj Party,2388,6,2394,1.08
S20,Rajasthan,157,Dhariawad,Kanhaiya lal,Bharatiya Janata Party,76586,378,76964,34.66
S20,Rajasthan,157,Dhariawad,Kaluram,Aam Aadmi Party,2462,3,2465,1.11
S20,Rajasthan,157,Dhariawad,Nagraj,Indian National Congress,46228,221,46449,20.92
S20,Rajasthan,157,Dhariawad,Thavar Chand,Bharat Adivasi Party,83277,378,83655,37.67
S20,Rajasthan,157,Dhariawad,Puran Mal,Communist Party of India (Marxist-Leninist) (Liberation),1626,1,1627,0.73
S20,Rajasthan,157,Dhariawad,Rajkumar,Independent,1853,3,1856,0.84
S20,Rajasthan,157,Dhariawad,Vishesh Kumar Meena,Independent,3375,2,3377,1.52
S20,Rajasthan,157,Dhariawad,NOTA,None of the Above,3290,4,3294,1.48
S20,Rajasthan,158,Dungarpur,GANESH GHOGRA,Indian National Congress,68458,880,69338,35.79
S20,Rajasthan,158,Dungarpur,GOTAMLAL,Communist Party of India (Marxist),2296,22,2318,1.2
S20,Rajasthan,158,Dungarpur,JEEVAN LAL,Bahujan Samaj Party,553,8,561,0.29
S20,Rajasthan,158,Dungarpur,DEVENDRA KATARA,Aam Aadmi Party,2317,31,2348,1.21
S20,Rajasthan,158,Dungarpur,BANSHILAL KATARA,Bharatiya Janata Party,45087,515,45602,23.54
S20,Rajasthan,158,Dungarpur,KANTILAL ROAT,Bharat Adivasi Party,49816,469,50285,25.95
S20,Rajasthan,158,Dungarpur,DR. DEEPAK GHOGRA,Bhartiya Tribal Party,1498,21,1519,0.78
S20,Rajasthan,158,Dungarpur,VIJAYA,Abhinav Loktantra Party,1345,9,1354,0.7
S20,Rajasthan,158,Dungarpur,DEVRAM ROAT,Independent,15950,215,16165,8.34
S20,Rajasthan,158,Dungarpur,NOTA,None of the Above,4223,43,4266,2.2
S20,Rajasthan,159,Aspur,Gopichand,Bharatiya Janata Party,64082,720,64802,32.29
S20,Rajasthan,159,Aspur,Dileep Kumar,Bahujan Samaj Party,1400,1,1401,0.7
S20,Rajasthan,159,Aspur,Mukesh Kumar Ahari,Aam Aadmi Party,3039,4,3043,1.52
S20,Rajasthan,159,Aspur,Rakesh Roat,Indian National Congress,31251,379,31630,15.76
